Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
600	0.0000	0.0000	0.0000
601	0.0000	0.0000	0.0000
602	2.0000	1.4184	1.4514
603	0.0000	0.0000	0.0000
604	2.0000	1.4184	1.4514
605	2.0000	1.4184	1.4514
606	2.0000	1.4184	1.4514
607	2.0000	1.4184	1.4514
608	0.0000	0.0000	0.0000
609	0.0000	0.0000	0.0000
610	2.0000	1.4184	1.4514
611	0.0000	0.0000	0.0000
612	2.0000	1.4184	1.4514
613	2.0000	1.4184	1.4514
614	2.0000	1.4184	1.4514
615	2.0000	1.4184	1.4514
616	2.0000	1.4184	1.4514
617	2.0000	1.4184	1.4514
618	2.0000	1.4184	1.4514
619	2.0000	1.4184	1.4514
620	2.0000	1.4184	1.4514
621	2.0000	1.4184	1.4514
622	2.0000	1.4184	1.4514
623	2.0000	1.4184	1.4514
624	0.0000	0.0000	0.0000
625	2.0000	1.4184	1.4514
626	0.0000	0.0000	0.0000
627	2.0000	1.4184	1.4514
628	0.0000	0.0000	0.0000
629	2.0000	1.4184	1.4514
630	2.0000	1.4184	1.4514
631	2.0000	1.4184	1.4514
632	0.0000	0.0000	0.0000
633	0.0000	0.0000	0.0000
634	2.0000	1.4184	1.4514
635	2.0000	1.4184	1.4514
636	2.0000	1.4184	1.4514
637	2.0000	1.4184	1.4514
638	2.0000	1.4184	1.4514
639	0.0000	0.0000	0.0000
640	2.0000	1.4184	1.4514
641	2.0000	1.4184	1.4514
642	0.0000	0.0000	0.0000
643	2.0000	1.4184	1.4514
644	0.0000	0.0000	0.0000
645	2.0000	1.4184	1.4514
646	2.0000	1.4184	1.4514
647	2.0000	1.4184	1.4514
648	2.0000	1.4184	1.4514
649	2.0000	1.4184	1.4514
650	0.0000	0.0000	0.0000
651	0.0000	0.0000	0.0000
652	2.0000	1.4184	1.4514
653	2.0000	1.4184	1.4514
654	2.0000	1.4184	1.4514
655	2.0000	1.4184	1.4514
656	2.0000	1.4184	1.4514
657	2.0000	1.4184	1.4514
658	2.0000	1.4184	1.4514
659	2.0000	1.4184	1.4514
660	2.0000	1.4184	1.4514
661	0.0000	0.0000	0.0000
662	2.0000	1.4184	1.4514
663	2.0000	1.4184	1.4514
664	0.0000	0.0000	0.0000
665	2.0000	1.4184	1.4514
666	0.0000	0.0000	0.0000
667	0.0000	0.0000	0.0000
668	2.0000	1.4184	1.4514
669	0.0000	0.0000	0.0000
670	2.0000	1.4184	1.4514
671	2.0000	1.4184	1.4514
672	2.0000	1.4184	1.4514
673	2.0000	1.4184	1.4514
674	2.0000	1.4184	1.4514
675	0.0000	0.0000	0.0000
676	0.0000	0.0000	0.0000
677	2.0000	1.4184	1.4514
678	2.0000	1.4184	1.4514
679	0.0000	0.0000	0.0000
680	2.0000	1.4184	1.4514
681	2.0000	1.4184	1.4514
682	2.0000	1.4184	1.4514
683	0.0000	0.0000	0.0000
684	2.0000	1.4184	1.4514
685	0.0000	0.0000	0.0000
686	2.0000	1.4184	1.4514
687	2.0000	1.4184	1.4514
688	2.0000	1.4184	1.4514
689	0.0000	0.0000	0.0000
690	2.0000	1.4184	1.4514
691	2.0000	1.4184	1.4514
692	0.0000	0.0000	0.0000
693	0.0000	0.0000	0.0000
694	2.0000	1.4184	1.4514
695	2.0000	1.4184	1.4514
696	0.0000	0.0000	0.0000
697	2.0000	1.4184	1.4514
698	2.0000	1.4184	1.4514
699	2.0000	1.4184	1.4514
700	2.0000	1.4184	1.4514
701	0.0000	0.0000	0.0000
702	2.0000	1.4184	1.4514
703	2.0000	1.4184	1.4514
704	2.0000	1.4184	1.4514
705	2.0000	1.4184	1.4514
706	2.0000	1.4184	1.4514
707	2.0000	1.4184	1.4514
708	2.0000	1.4184	1.4514
709	0.0000	0.0000	0.0000
710	2.0000	1.4184	1.4514
711	2.0000	1.4184	1.4514
712	2.0000	1.4184	1.4514
713	2.0000	1.4184	1.4514
714	0.0000	0.0000	0.0000
715	2.0000	1.4184	1.4514
716	2.0000	1.4184	1.4514
717	2.0000	1.4184	1.4514
718	2.0000	1.4184	1.4514
719	2.0000	1.4184	1.4514
720	0.0000	0.0000	0.0000
721	2.0000	1.4184	1.4514
722	2.0000	1.4184	1.4514
723	2.0000	1.4184	1.4514
724	0.0000	0.0000	0.0000
725	0.0000	0.0000	0.0000
726	0.0000	0.0000	0.0000
727	2.0000	1.4184	1.4514
728	2.0000	1.4184	1.4514
729	0.0000	0.0000	0.0000
730	2.0000	1.4184	1.4514
731	0.0000	0.0000	0.0000
732	2.0000	1.4184	1.4514
733	2.0000	1.4184	1.4514
734	2.0000	1.4184	1.4514
735	2.0000	1.4184	1.4514
736	2.0000	1.4184	1.4514
737	0.0000	0.0000	0.0000
738	0.0000	0.0000	0.0000
739	2.0000	1.4184	1.4514
740	0.0000	0.0000	0.0000
741	2.0000	1.4184	1.4514
742	0.0000	0.0000	0.0000
743	2.0000	1.4184	1.4514
744	2.0000	1.4184	1.4514
745	2.0000	1.4184	1.4514
746	2.0000	1.4184	1.4514
747	2.0000	1.4184	1.4514
748	2.0000	1.4184	1.4514
749	2.0000	1.4184	1.4514
750	2.0000	1.4184	1.4514
751	2.0000	1.4184	1.4514
752	2.0000	1.4184	1.4514
753	0.0000	0.0000	0.0000
754	2.0000	1.4184	1.4514
755	0.0000	0.0000	0.0000
756	2.0000	1.4184	1.4514
757	2.0000	1.4184	1.4514
758	2.0000	1.4184	1.4514
759	0.0000	0.0000	0.0000
760	0.0000	0.0000	0.0000
761	0.0000	0.0000	0.0000
762	2.0000	1.4184	1.4514
763	2.0000	1.4184	1.4514
764	2.0000	1.4184	1.4514
765	2.0000	1.4184	1.4514
766	2.0000	1.4184	1.4514
767	2.0000	1.4184	1.4514
768	2.0000	1.4184	1.4514
769	2.0000	1.4184	1.4514
770	0.0000	0.0000	0.0000
771	0.0000	0.0000	0.0000
772	0.0000	0.0000	0.0000
773	2.0000	1.4184	1.4514
774	2.0000	1.4184	1.4514
775	2.0000	1.4184	1.4514
