Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
449	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000
451	1.0000	1.4184	1.4514
452	1.0000	1.4184	1.4514
453	0.0000	0.0000	0.0000
454	1.0000	1.4184	1.4514
455	0.0000	0.0000	0.0000
456	1.0000	1.4184	1.4514
457	1.0000	1.4184	1.4514
458	0.0000	0.0000	0.0000
459	1.0000	1.4184	1.4514
460	1.0000	1.4184	1.4514
461	1.0000	1.4184	1.4514
462	1.0000	1.4184	1.4514
463	1.0000	1.4184	1.4514
464	1.0000	1.4184	1.4514
465	1.0000	1.4184	1.4514
466	1.0000	1.4184	1.4514
467	1.0000	1.4184	1.4514
468	1.0000	1.4184	1.4514
469	1.0000	1.4184	1.4514
470	1.0000	1.4184	1.4514
471	1.0000	1.4184	1.4514
472	1.0000	1.4184	1.4514
473	0.0000	0.0000	0.0000
474	0.0000	0.0000	0.0000
475	0.0000	0.0000	0.0000
476	0.0000	0.0000	0.0000
477	0.0000	0.0000	0.0000
478	1.0000	1.4184	1.4514
479	0.0000	0.0000	0.0000
480	1.0000	1.4184	1.4514
481	0.0000	0.0000	0.0000
482	1.0000	1.4184	1.4514
483	1.0000	1.4184	1.4514
484	1.0000	1.4184	1.4514
485	1.0000	1.4184	1.4514
486	1.0000	1.4184	1.4514
487	1.0000	1.4184	1.4514
488	1.0000	1.4184	1.4514
489	0.0000	0.0000	0.0000
490	1.0000	1.4184	1.4514
491	1.0000	1.4184	1.4514
492	1.0000	1.4184	1.4514
493	1.0000	1.4184	1.4514
494	1.0000	1.4184	1.4514
495	0.0000	0.0000	0.0000
496	0.0000	0.0000	0.0000
497	0.0000	0.0000	0.0000
498	1.0000	1.4184	1.4514
499	0.0000	0.0000	0.0000
500	1.0000	1.4184	1.4514
501	1.0000	1.4184	1.4514
502	1.0000	1.4184	1.4514
503	0.0000	0.0000	0.0000
504	1.0000	1.4184	1.4514
505	1.0000	1.4184	1.4514
506	1.0000	1.4184	1.4514
507	0.0000	0.0000	0.0000
508	1.0000	1.4184	1.4514
509	1.0000	1.4184	1.4514
510	1.0000	1.4184	1.4514
511	1.0000	1.4184	1.4514
512	0.0000	0.0000	0.0000
513	1.0000	1.4184	1.4514
514	0.0000	0.0000	0.0000
515	0.0000	0.0000	0.0000
516	1.0000	1.4184	1.4514
517	1.0000	1.4184	1.4514
518	0.0000	0.0000	0.0000
519	1.0000	1.4184	1.4514
520	1.0000	1.4184	1.4514
521	1.0000	1.4184	1.4514
522	1.0000	1.4184	1.4514
523	1.0000	1.4184	1.4514
524	1.0000	1.4184	1.4514
525	1.0000	1.4184	1.4514
526	1.0000	1.4184	1.4514
527	1.0000	1.4184	1.4514
528	1.0000	1.4184	1.4514
529	1.0000	1.4184	1.4514
530	1.0000	1.4184	1.4514
531	0.0000	0.0000	0.0000
532	1.0000	1.4184	1.4514
533	0.0000	0.0000	0.0000
534	1.0000	1.4184	1.4514
535	1.0000	1.4184	1.4514
536	1.0000	1.4184	1.4514
537	1.0000	1.4184	1.4514
538	0.0000	0.0000	0.0000
539	0.0000	0.0000	0.0000
540	1.0000	1.4184	1.4514
541	1.0000	1.4184	1.4514
542	0.0000	0.0000	0.0000
543	0.0000	0.0000	0.0000
544	1.0000	1.4184	1.4514
545	1.0000	1.4184	1.4514
546	0.0000	0.0000	0.0000
547	1.0000	1.4184	1.4514
548	1.0000	1.4184	1.4514
549	1.0000	1.4184	1.4514
550	1.0000	1.4184	1.4514
551	1.0000	1.4184	1.4514
552	1.0000	1.4184	1.4514
553	1.0000	1.4184	1.4514
554	1.0000	1.4184	1.4514
555	1.0000	1.4184	1.4514
556	0.0000	0.0000	0.0000
557	1.0000	1.4184	1.4514
558	0.0000	0.0000	0.0000
559	1.0000	1.4184	1.4514
560	1.0000	1.4184	1.4514
561	1.0000	1.4184	1.4514
562	1.0000	1.4184	1.4514
563	0.0000	0.0000	0.0000
564	1.0000	1.4184	1.4514
565	0.0000	0.0000	0.0000
566	0.0000	0.0000	0.0000
567	1.0000	1.4184	1.4514
568	0.0000	0.0000	0.0000
569	1.0000	1.4184	1.4514
570	1.0000	1.4184	1.4514
571	0.0000	0.0000	0.0000
572	0.0000	0.0000	0.0000
573	1.0000	1.4184	1.4514
574	1.0000	1.4184	1.4514
575	1.0000	1.4184	1.4514
576	0.0000	0.0000	0.0000
577	0.0000	0.0000	0.0000
578	0.0000	0.0000	0.0000
579	1.0000	1.4184	1.4514
580	1.0000	1.4184	1.4514
581	1.0000	1.4184	1.4514
582	0.0000	0.0000	0.0000
583	0.0000	0.0000	0.0000
584	1.0000	1.4184	1.4514
585	0.0000	0.0000	0.0000
586	0.0000	0.0000	0.0000
587	0.0000	0.0000	0.0000
588	1.0000	1.4184	1.4514
589	1.0000	1.4184	1.4514
590	0.0000	0.0000	0.0000
591	1.0000	1.4184	1.4514
592	1.0000	1.4184	1.4514
593	0.0000	0.0000	0.0000
594	1.0000	1.4184	1.4514
595	0.0000	0.0000	0.0000
596	0.0000	0.0000	0.0000
597	1.0000	1.4184	1.4514
598	1.0000	1.4184	1.4514
599	0.0000	0.0000	0.0000
600	0.0000	0.0000	0.0000
601	0.0000	0.0000	0.0000
602	1.0000	1.4184	1.4514
603	0.0000	0.0000	0.0000
604	1.0000	1.4184	1.4514
605	1.0000	1.4184	1.4514
606	1.0000	1.4184	1.4514
607	1.0000	1.4184	1.4514
608	0.0000	0.0000	0.0000
609	0.0000	0.0000	0.0000
610	1.0000	1.4184	1.4514
611	0.0000	0.0000	0.0000
612	1.0000	1.4184	1.4514
613	1.0000	1.4184	1.4514
614	1.0000	1.4184	1.4514
615	1.0000	1.4184	1.4514
616	1.0000	1.4184	1.4514
617	1.0000	1.4184	1.4514
618	1.0000	1.4184	1.4514
619	1.0000	1.4184	1.4514
620	1.0000	1.4184	1.4514
621	1.0000	1.4184	1.4514
622	1.0000	1.4184	1.4514
623	1.0000	1.4184	1.4514
624	0.0000	0.0000	0.0000
625	1.0000	1.4184	1.4514
626	0.0000	0.0000	0.0000
627	1.0000	1.4184	1.4514
628	0.0000	0.0000	0.0000
629	1.0000	1.4184	1.4514
630	1.0000	1.4184	1.4514
631	1.0000	1.4184	1.4514
632	0.0000	0.0000	0.0000
633	0.0000	0.0000	0.0000
634	1.0000	1.4184	1.4514
635	1.0000	1.4184	1.4514
636	1.0000	1.4184	1.4514
637	1.0000	1.4184	1.4514
638	1.0000	1.4184	1.4514
639	0.0000	0.0000	0.0000
640	1.0000	1.4184	1.4514
641	1.0000	1.4184	1.4514
642	0.0000	0.0000	0.0000
643	1.0000	1.4184	1.4514
644	0.0000	0.0000	0.0000
645	1.0000	1.4184	1.4514
646	1.0000	1.4184	1.4514
647	1.0000	1.4184	1.4514
648	1.0000	1.4184	1.4514
649	1.0000	1.4184	1.4514
650	0.0000	0.0000	0.0000
651	0.0000	0.0000	0.0000
652	1.0000	1.4184	1.4514
653	1.0000	1.4184	1.4514
654	1.0000	1.4184	1.4514
655	1.0000	1.4184	1.4514
656	1.0000	1.4184	1.4514
657	1.0000	1.4184	1.4514
658	1.0000	1.4184	1.4514
659	1.0000	1.4184	1.4514
660	1.0000	1.4184	1.4514
661	0.0000	0.0000	0.0000
662	1.0000	1.4184	1.4514
663	1.0000	1.4184	1.4514
664	0.0000	0.0000	0.0000
665	1.0000	1.4184	1.4514
666	0.0000	0.0000	0.0000
667	0.0000	0.0000	0.0000
668	1.0000	1.4184	1.4514
669	0.0000	0.0000	0.0000
670	1.0000	1.4184	1.4514
671	1.0000	1.4184	1.4514
672	1.0000	1.4184	1.4514
673	1.0000	1.4184	1.4514
674	1.0000	1.4184	1.4514
675	0.0000	0.0000	0.0000
676	0.0000	0.0000	0.0000
677	1.0000	1.4184	1.4514
678	1.0000	1.4184	1.4514
679	0.0000	0.0000	0.0000
680	1.0000	1.4184	1.4514
681	1.0000	1.4184	1.4514
682	1.0000	1.4184	1.4514
683	0.0000	0.0000	0.0000
684	1.0000	1.4184	1.4514
685	0.0000	0.0000	0.0000
686	1.0000	1.4184	1.4514
687	1.0000	1.4184	1.4514
688	1.0000	1.4184	1.4514
689	0.0000	0.0000	0.0000
690	1.0000	1.4184	1.4514
691	1.0000	1.4184	1.4514
692	0.0000	0.0000	0.0000
693	0.0000	0.0000	0.0000
694	1.0000	1.4184	1.4514
695	1.0000	1.4184	1.4514
696	0.0000	0.0000	0.0000
697	1.0000	1.4184	1.4514
698	1.0000	1.4184	1.4514
699	1.0000	1.4184	1.4514
700	1.0000	1.4184	1.4514
701	0.0000	0.0000	0.0000
702	1.0000	1.4184	1.4514
703	1.0000	1.4184	1.4514
704	1.0000	1.4184	1.4514
705	1.0000	1.4184	1.4514
706	1.0000	1.4184	1.4514
707	1.0000	1.4184	1.4514
708	1.0000	1.4184	1.4514
709	0.0000	0.0000	0.0000
710	1.0000	1.4184	1.4514
711	1.0000	1.4184	1.4514
712	1.0000	1.4184	1.4514
713	1.0000	1.4184	1.4514
714	0.0000	0.0000	0.0000
715	1.0000	1.4184	1.4514
716	1.0000	1.4184	1.4514
717	1.0000	1.4184	1.4514
718	1.0000	1.4184	1.4514
719	1.0000	1.4184	1.4514
720	0.0000	0.0000	0.0000
721	1.0000	1.4184	1.4514
722	1.0000	1.4184	1.4514
723	1.0000	1.4184	1.4514
724	0.0000	0.0000	0.0000
725	0.0000	0.0000	0.0000
726	0.0000	0.0000	0.0000
727	1.0000	1.4184	1.4514
728	1.0000	1.4184	1.4514
729	0.0000	0.0000	0.0000
730	1.0000	1.4184	1.4514
731	0.0000	0.0000	0.0000
732	1.0000	1.4184	1.4514
733	1.0000	1.4184	1.4514
734	1.0000	1.4184	1.4514
735	1.0000	1.4184	1.4514
736	1.0000	1.4184	1.4514
737	0.0000	0.0000	0.0000
738	0.0000	0.0000	0.0000
739	1.0000	1.4184	1.4514
740	0.0000	0.0000	0.0000
741	1.0000	1.4184	1.4514
742	0.0000	0.0000	0.0000
743	1.0000	1.4184	1.4514
744	1.0000	1.4184	1.4514
745	1.0000	1.4184	1.4514
746	1.0000	1.4184	1.4514
747	1.0000	1.4184	1.4514
748	1.0000	1.4184	1.4514
749	1.0000	1.4184	1.4514
750	1.0000	1.4184	1.4514
751	1.0000	1.4184	1.4514
752	1.0000	1.4184	1.4514
753	0.0000	0.0000	0.0000
754	1.0000	1.4184	1.4514
755	0.0000	0.0000	0.0000
756	1.0000	1.4184	1.4514
757	1.0000	1.4184	1.4514
758	1.0000	1.4184	1.4514
759	0.0000	0.0000	0.0000
760	0.0000	0.0000	0.0000
761	0.0000	0.0000	0.0000
762	1.0000	1.4184	1.4514
763	1.0000	1.4184	1.4514
764	1.0000	1.4184	1.4514
765	1.0000	1.4184	1.4514
766	1.0000	1.4184	1.4514
767	1.0000	1.4184	1.4514
768	1.0000	1.4184	1.4514
769	1.0000	1.4184	1.4514
770	0.0000	0.0000	0.0000
771	0.0000	0.0000	0.0000
772	0.0000	0.0000	0.0000
773	1.0000	1.4184	1.4514
774	1.0000	1.4184	1.4514
775	1.0000	1.4184	1.4514
776	1.0000	1.4184	1.4514
777	0.0000	0.0000	0.0000
778	1.0000	1.4184	1.4514
779	1.0000	1.4184	1.4514
780	1.0000	1.4184	1.4514
781	1.0000	1.4184	1.4514
782	1.0000	1.4184	1.4514
783	1.0000	1.4184	1.4514
784	0.0000	0.0000	0.0000
785	1.0000	1.4184	1.4514
786	0.0000	0.0000	0.0000
787	1.0000	1.4184	1.4514
788	1.0000	1.4184	1.4514
789	1.0000	1.4184	1.4514
790	1.0000	1.4184	1.4514
791	0.0000	0.0000	0.0000
792	0.0000	0.0000	0.0000
793	0.0000	0.0000	0.0000
794	0.0000	0.0000	0.0000
795	1.0000	1.4184	1.4514
796	1.0000	1.4184	1.4514
797	1.0000	1.4184	1.4514
798	1.0000	1.4184	1.4514
799	1.0000	1.4184	1.4514
800	1.0000	1.4184	1.4514
801	1.0000	1.4184	1.4514
802	1.0000	1.4184	1.4514
803	0.0000	0.0000	0.0000
804	1.0000	1.4184	1.4514
805	1.0000	1.4184	1.4514
806	0.0000	0.0000	0.0000
807	1.0000	1.4184	1.4514
808	1.0000	1.4184	1.4514
809	0.0000	0.0000	0.0000
810	1.0000	1.4184	1.4514
811	0.0000	0.0000	0.0000
812	1.0000	1.4184	1.4514
813	1.0000	1.4184	1.4514
814	0.0000	0.0000	0.0000
815	1.0000	1.4184	1.4514
